S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2019,State,Andhra Pradesh,870,183,112,1536,7,1469,902,1086,177,492,310,40,473,7657
2,2019,State,Arunachal Pradesh,60,8,1,52,0,165,117,63,2,60,76,15,59,678
3,2019,State,Assam,1235,54,156,1366,0,10478,9432,1773,400,1033,1944,198,627,28696
4,2019,State,Bihar,3138,56,1120,7462,784,10575,10707,730,110,7262,2398,391,271,45004
5,2019,State,Chhattisgarh,913,32,76,617,0,1082,2638,1036,9,615,439,50,291,7798
6,2019,State,Goa,33,2,1,33,0,76,71,72,0,103,11,3,10,415
7,2019,State,Gujarat,993,87,9,910,45,2271,1813,528,1,1353,1035,208,180,9433
8,2019,State,Haryana,1137,50,248,923,13,1389,4023,1480,194,2268,620,153,293,12791
9,2019,State,Himachal Pradesh,70,19,4,54,1,416,455,359,5,372,12,1,65,1833
10,2019,State,Jammu & Kashmir,119,17,8,420,0,66,961,223,13,1022,73,1,177,3100
11,2019,State,Jharkhand,1626,66,299,1920,0,1698,1814,1416,234,2207,666,134,106,12186
12,2019,State,Karnataka,1314,75,194,2569,25,2181,3080,505,12,4107,1865,226,284,16437
13,2019,State,Kerala,323,93,8,729,2209,2182,386,2023,51,3514,741,87,389,12735
14,2019,State,Madhya Pradesh,1795,155,550,1750,66,5094,9812,2485,39,1110,1290,85,703,24934
15,2019,State,Maharashtra,2142,250,196,3003,28,7338,11755,2299,4,7518,7763,615,1150,44061
16,2019,State,Manipur,56,10,0,149,0,186,129,36,1,69,2,7,28,673
17,2019,State,Meghalaya,68,4,3,64,0,92,130,102,16,0,83,40,75,677
18,2019,State,Mizoram,22,6,0,14,0,44,5,42,0,2,7,0,20,162
19,2019,State,Nagaland,25,2,0,26,0,23,64,8,0,1,28,1,2,180
20,2019,State,Odisha,1356,5,342,3569,0,4196,4748,1382,151,1993,2492,401,552,21187
21,2019,State,Punjab,679,166,69,840,95,1796,1798,1002,109,0,91,25,80,6750
22,2019,State,Rajasthan,1659,114,452,1905,475,896,8058,5997,1019,392,1421,107,439,22934
23,2019,State,Sikkim,17,2,0,14,0,37,51,11,3,34,3,2,14,188
24,2019,State,Tamil Nadu,1745,68,28,2478,4,679,898,362,8,1722,2444,113,395,10944
25,2019,State,Telangana,839,171,163,1326,10,1419,2127,873,42,715,505,45,419,8654
26,2019,State,Tripura,144,7,38,144,0,1273,166,88,9,171,21,8,77,2146
27,2019,State,Uttar Pradesh,3806,1271,2410,4596,1473,13247,16590,3065,358,5714,2241,124,617,55512
28,2019,State,Uttarakhand,199,49,57,161,7,138,967,526,21,521,175,18,6,2845
29,2019,State,West Bengal,1933,367,444,12062,1880,17969,5191,1069,944,1728,291,56,511,44445
30,2019,Union Territory,A & N Islands,13,0,0,9,4,42,27,13,0,3,0,0,5,116
31,2019,Union Territory,Chandigarh,26,1,6,34,5,23,177,112,2,46,33,4,4,473
32,2019,Union Territory,D & N Haveli,7,0,3,2,1,9,9,0,0,11,3,0,1,46
33,2019,Union Territory,Daman & Diu,6,0,2,9,5,6,26,4,0,1,6,0,1,66
34,2019,Union Territory,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2019,Union Territory,Delhi,521,79,116,487,627,527,5901,1253,10,23,1956,15,89,11604
36,2019,Union Territory,Lakshadweep,0,0,0,0,1,2,0,0,0,12,0,0,1,16
37,2019,Union Territory,Puducherry,29,1,0,21,1,31,9,10,0,15,20,3,6,146
Total All India,2019,Total All India,TOTAL ALL INDIA,28918,3470,7115,51254,7766,89115,105037,32033,3944,46209,31065,3176,8420,417522
